ticket_id,ticket_text,category,priority,source_channel
10093,Please cancel my premium subscription immediately.,Cancellation,Medium,Email
10094,"Hi team, How do I close my account? I cannot find the option in the portal.",Cancellation,Medium,Chat
10095,Please help - Requesting a refund for accidental renewal of the license tier.,Billing,Medium,Phone
10096,"Hi team, API webhook integration is failing to sync payload data.",Technical Support,Medium,Email
10097,"Hi team, Requesting a refund for accidental renewal of the license tier.",Billing,High,Email
10098,Please help - Application crashes whenever I try to opening settings.,Technical Support,Medium,Chat
10099,"Unable to connect to the database, getting a timeout error.",Technical Support,Low,Email
10100,"Hello, Production server is throwing Timeout Exception errors during processing checkout.",Technical Support,High,Email
10101,"Hello, API webhook integration is failing to sync payload data.",Technical Support,Medium,Email
10102,"Regarding my account: Terrible experience, your customer support agent completely ignored my issue.",Complaint,Low,Chat
10103,"Hello, Locked out of my admin account after entering the wrong MFA token.",Account Access,High,Email
10104,"Hello, Unable to update billing details in the payment gateway settings.",Billing,High,Email
10105,"Hello, Application crashes whenever I try to exporting reports.",Technical Support,Low,Web Portal
10106,Regarding my account: The new features are completely broken and ruining our daily workflows.,Complaint,High,Email
10107,Please help - Application crashes whenever I try to exporting reports.,Technical Support,Medium,Phone
10108,Regarding my account: The service availability falls way short of the promised uptime SLA.,Complaint,High,Email
10109,Where can I find the official developer API reference guides?,General Inquiry,Low,Chat
10110,I've been waiting over 48 hours for an urgent response.,Complaint,High,Email
10111,"Hi team, My corporate credit card was declined but funds are showing as locked.",Billing,High,Chat
10112,"Hi team, Unable to connect to the database, getting a timeout error.",Technical Support,High,Phone
10113,"Hello, Do you provide dedicated training webinars or onboarding documentation?",General Inquiry,Low,Chat
10114,Urgent: Application crashes whenever I try to opening settings.,Technical Support,High,Email
10115,"Please help - Unable to connect to the database, getting a timeout error.",Technical Support,Medium,Email
10116,Please help - I've been waiting over 48 hours for an urgent response.,Complaint,High,Email
10117,Urgent: Why is there an unexpected charge on my statement this month?,Billing,Medium,Email
10118,Regarding my account: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Medium,Email
10119,"Hello, API webhook integration is failing to sync payload data.",Technical Support,High,Email
10120,Please help - Password reset link expired or is invalid.,Account Access,Medium,Web Portal
10121,"Hello, My corporate credit card was declined but funds are showing as locked.",Billing,Medium,Email
10122,Regarding my account: Need to transfer master ownership of the workspace to another admin.,Account Access,Medium,Web Portal
10123,"Hello, Where can I find the official developer API reference guides?",General Inquiry,Medium,Web Portal
10124,"Hi team, Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Phone
10125,"Hi team, Unable to connect to the database, getting a timeout error.",Technical Support,High,Email
10126,"Hi team, My corporate credit card was declined but funds are showing as locked.",Billing,High,Chat
10127,Urgent: Please cancel my premium subscription immediately.,Cancellation,High,Phone
10128,Urgent: Extremely disappointed with the unannounced price hike.,Complaint,Low,Email
10129,"Hello, I want to terminate my membership and delete all stored personal data.",Cancellation,High,Chat
10130,"Hello, Application crashes whenever I try to opening settings.",Technical Support,Low,Chat
10131,Regarding my account: Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Email
10132,Urgent: Downgrade our team's corporate subscription to the free tier.,Cancellation,Low,Email
10133,Where can I find the official developer API reference guides?,General Inquiry,Low,Email
10134,"Regarding my account: Moving to a competing software provider, cancel auto-renewals.",Cancellation,Low,Phone
10135,Cannot authorize login via Google OAuth provider.,Account Access,High,Chat
10136,Regarding my account: Where can I find the official developer API reference guides?,General Inquiry,High,Email
10137,Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Phone
10138,Urgent: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Web Portal
10139,Please help - I've been waiting over 48 hours for an urgent response.,Complaint,High,Email
10140,Please help - Need a copy of invoice #9408 for our company accounts.,Billing,Medium,Email
10141,"Hello, Moving to a competing software provider, cancel auto-renewals.",Cancellation,High,Chat
10142,Please help - Locked out of my admin account after entering the wrong MFA token.,Account Access,High,Phone
10143,Urgent: Need to transfer master ownership of the workspace to another admin.,Account Access,High,Chat
10144,"Hello, Unable to connect to the database, getting a timeout error.",Technical Support,Low,Phone
10145,Regarding my account: Extremely disappointed with the unannounced price hike.,Complaint,High,Phone
10146,"Hello, Extremely disappointed with the unannounced price hike.",Complaint,Low,Phone
10147,"Regarding my account: Terrible experience, your customer support agent completely ignored my issue.",Complaint,High,Phone
10148,Urgent: Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Low,Email
10149,Please cancel my premium subscription immediately.,Cancellation,Low,Web Portal
10150,Regarding my account: I want to terminate my membership and delete all stored personal data.,Cancellation,High,Email
10151,"Hi team, Downgrade our team's corporate subscription to the free tier.",Cancellation,Medium,Email
10152,"Hi team, Do you provide dedicated training webinars or onboarding documentation?",General Inquiry,Low,Phone
10153,Urgent: Application crashes whenever I try to exporting reports.,Technical Support,High,Email
10154,"Hello, API webhook integration is failing to sync payload data.",Technical Support,Medium,Phone
10155,"Hello, Moving to a competing software provider, cancel auto-renewals.",Cancellation,Low,Email
10156,"Hi team, My corporate credit card was declined but funds are showing as locked.",Billing,Low,Phone
10157,Urgent: Production server is throwing 403 Forbidden errors during loading charts.,Technical Support,High,Web Portal
10158,Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Low,Phone
10159,"Hi team, My profile shows as deactivated or suspended without notice.",Account Access,High,Web Portal
10160,"Hello, My profile shows as deactivated or suspended without notice.",Account Access,Medium,Web Portal
10161,"Urgent: Terrible experience, your customer support agent completely ignored my issue.",Complaint,Medium,Email
10162,I've been waiting over 48 hours for an urgent response.,Complaint,Low,Email
10163,Regarding my account: API webhook integration is failing to sync payload data.,Technical Support,Low,Phone
10164,Regarding my account: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Email
10165,Please help - Requesting a refund for accidental renewal of the license tier.,Billing,Medium,Phone
10166,Please help - Requesting a refund for accidental renewal of the license tier.,Billing,High,Email
10167,Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Web Portal
10168,Locked out of my admin account after entering the wrong MFA token.,Account Access,Medium,Email
10169,"Regarding my account: Terrible experience, your customer support agent completely ignored my issue.",Complaint,Low,Phone
10170,Please help - Please cancel my premium subscription immediately.,Cancellation,Medium,Web Portal
10171,"Hello, The service availability falls way short of the promised uptime SLA.",Complaint,Low,Email
10172,Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,High,Phone
10173,Urgent: Need a copy of invoice #8482 for our company accounts.,Billing,Low,Chat
10174,"Hello, The latest update broke the UI layout on mobile view.",Technical Support,Medium,Email
10175,Regarding my account: Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Low,Chat
10176,Urgent: Cannot authorize login via Google OAuth provider.,Account Access,High,Email
10177,"Regarding my account: Unable to connect to the database, getting a timeout error.",Technical Support,Low,Chat
10178,Regarding my account: Where can I find the official developer API reference guides?,General Inquiry,Low,Web Portal
10179,"Hi team, Please cancel my premium subscription immediately.",Cancellation,Low,Web Portal
10180,Regarding my account: Production server is throwing 403 Forbidden errors during exporting reports.,Technical Support,High,Email
10181,Please help - Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Medium,Email
10182,Regarding my account: The service availability falls way short of the promised uptime SLA.,Complaint,Medium,Email
10183,"Hi team, Unable to connect to the database, getting a timeout error.",Technical Support,Medium,Email
10184,"Hello, Moving to a competing software provider, cancel auto-renewals.",Cancellation,Low,Email
10185,Password reset link expired or is invalid.,Account Access,Low,Email
10186,Urgent: Requesting a refund for accidental renewal of the license tier.,Billing,High,Phone
10187,Please help - How do I close my account? I cannot find the option in the portal.,Cancellation,Medium,Email
10188,"Please help - Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Phone
10189,"Hi team, Requesting a refund for accidental renewal of the license tier.",Billing,Medium,Email
10190,"Hello, Need to transfer master ownership of the workspace to another admin.",Account Access,Medium,Web Portal
10191,Please help - Password reset link expired or is invalid.,Account Access,Medium,Chat
10192,"Hello, I've been waiting over 48 hours for an urgent response.",Complaint,Low,Chat
10193,Urgent: API webhook integration is failing to sync payload data.,Technical Support,High,Web Portal
10194,Urgent: Why is there an unexpected charge on my statement this month?,Billing,Low,Email
10195,My profile shows as deactivated or suspended without notice.,Account Access,Medium,Email
10196,Please help - Critical error: Timeout Exception unhandled exception on the dashboard.,Technical Support,High,Phone
10197,"Hello, Unable to connect to the database, getting a timeout error.",Technical Support,High,Phone
10198,"Hi team, I've been waiting over 48 hours for an urgent response.",Complaint,Medium,Phone
10199,"Hi team, Just checking if there is any scheduled maintenance window this weekend.",General Inquiry,Low,Email
10200,Please help - API webhook integration is failing to sync payload data.,Technical Support,High,Phone
10201,Regarding my account: The latest update broke the UI layout on mobile view.,Technical Support,High,Phone
10202,"Hi team, Extremely slow performance, page loads take over 10 seconds.",Technical Support,Medium,Phone
10203,"Please help - Extremely slow performance, page loads take over 10 seconds.",Technical Support,Medium,Email
10204,The new features are completely broken and ruining our daily workflows.,Complaint,Medium,Phone
10205,Please help - I've been waiting over 48 hours for an urgent response.,Complaint,Low,Phone
10206,Please help - Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Medium,Phone
10207,Please cancel my premium subscription immediately.,Cancellation,High,Chat
10208,Please help - Application crashes whenever I try to opening settings.,Technical Support,Medium,Email
10209,"Hi team, Extremely disappointed with the unannounced price hike.",Complaint,Medium,Email
10210,Regarding my account: Downgrade our team's corporate subscription to the free tier.,Cancellation,High,Phone
10211,"Terrible experience, your customer support agent completely ignored my issue.",Complaint,Medium,Chat
10212,Please help - Cannot authorize login via Google OAuth provider.,Account Access,Medium,Phone
10213,Locked out of my admin account after entering the wrong MFA token.,Account Access,High,Phone
10214,Urgent: My corporate credit card was declined but funds are showing as locked.,Billing,Medium,Phone
10215,"Hello, Critical error: Timeout Exception unhandled exception on the dashboard.",Technical Support,High,Email
10216,Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Low,Email
10217,Regarding my account: I want to terminate my membership and delete all stored personal data.,Cancellation,High,Email
10218,Regarding my account: My profile shows as deactivated or suspended without notice.,Account Access,Low,Email
10219,Please help - 2FA SMS authentication code is not delivering to my phone.,Account Access,High,Phone
10220,My corporate credit card was declined but funds are showing as locked.,Billing,Medium,Email
10221,"Hi team, Why is there an unexpected charge on my statement this month?",Billing,Medium,Web Portal
10222,Please help - The latest update broke the UI layout on mobile view.,Technical Support,High,Phone
10223,"Please help - Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Phone
10224,"Hi team, I was double charged for my monthly subscription fee.",Billing,Low,Phone
10225,The latest update broke the UI layout on mobile view.,Technical Support,Medium,Email
10226,Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Phone
10227,"Hello, Can you send over details regarding enterprise tier volume pricing?",General Inquiry,Low,Chat
10228,Regarding my account: Why is there an unexpected charge on my statement this month?,Billing,Medium,Phone
10229,"Hi team, Do you provide dedicated training webinars or onboarding documentation?",General Inquiry,Low,Email
10230,Urgent: Requesting a refund for accidental renewal of the license tier.,Billing,High,Chat
10231,"Hello, My corporate credit card was declined but funds are showing as locked.",Billing,Medium,Email
10232,Regarding my account: Application crashes whenever I try to loading charts.,Technical Support,Medium,Phone
10233,"Hi team, My corporate credit card was declined but funds are showing as locked.",Billing,High,Email
10234,Urgent: Cannot authorize login via Google OAuth provider.,Account Access,High,Email
10235,"Hi team, Need a copy of invoice #9565 for our company accounts.",Billing,High,Phone
10236,Regarding my account: Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Low,Email
10237,Regarding my account: I was double charged for my monthly subscription fee.,Billing,Medium,Email
10238,Please help - My profile shows as deactivated or suspended without notice.,Account Access,Medium,Email
10239,"Hello, I was double charged for my monthly subscription fee.",Billing,Low,Web Portal
10240,Urgent: Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Low,Phone
10241,Please help - Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Medium,Phone
10242,"Hello, Please cancel my premium subscription immediately.",Cancellation,Low,Email
10243,"Please help - Unable to connect to the database, getting a timeout error.",Technical Support,High,Chat
10244,Please help - The latest update broke the UI layout on mobile view.,Technical Support,Low,Phone
10245,The service availability falls way short of the promised uptime SLA.,Complaint,Medium,Email
10246,"Hello, Do you provide dedicated training webinars or onboarding documentation?",General Inquiry,Low,Email
10247,Password reset link expired or is invalid.,Account Access,Medium,Email
10248,"Hello, My corporate credit card was declined but funds are showing as locked.",Billing,Medium,Chat
10249,Production server is throwing 500 Internal Server Error errors during opening settings.,Technical Support,High,Chat
10250,"Hi team, Cannot authorize login via Google OAuth provider.",Account Access,Medium,Web Portal
10251,Regarding my account: Application crashes whenever I try to saving data.,Technical Support,Medium,Web Portal
10252,"Hi team, Need a copy of invoice #6908 for our company accounts.",Billing,Medium,Phone
10253,"Hello, The new features are completely broken and ruining our daily workflows.",Complaint,Low,Email
10254,Urgent: I want to terminate my membership and delete all stored personal data.,Cancellation,Medium,Phone
10255,"Hi team, API webhook integration is failing to sync payload data.",Technical Support,High,Chat
10256,"Hello, 2FA SMS authentication code is not delivering to my phone.",Account Access,Low,Chat
10257,Regarding my account: My corporate credit card was declined but funds are showing as locked.,Billing,High,Chat
10258,"Hi team, Please cancel my premium subscription immediately.",Cancellation,Medium,Phone
10259,Regarding my account: Downgrade our team's corporate subscription to the free tier.,Cancellation,High,Phone
10260,"Hi team, The new features are completely broken and ruining our daily workflows.",Complaint,Medium,Chat
10261,Please help - I've been waiting over 48 hours for an urgent response.,Complaint,High,Email
10262,Urgent: Requesting a refund for accidental renewal of the license tier.,Billing,Low,Phone
10263,"Hello, Locked out of my admin account after entering the wrong MFA token.",Account Access,High,Email
10264,Regarding my account: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Phone
10265,Regarding my account: Need to transfer master ownership of the workspace to another admin.,Account Access,High,Email
10266,Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Web Portal
10267,Please help - The new features are completely broken and ruining our daily workflows.,Complaint,Medium,Web Portal
10268,Critical error: NullPointerException unhandled exception on the dashboard.,Technical Support,High,Email
10269,I was double charged for my monthly subscription fee.,Billing,Low,Chat
10270,Urgent: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Medium,Email
10271,Urgent: Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Medium,Chat
10272,Regarding my account: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Chat
10273,"Hi team, Need to transfer master ownership of the workspace to another admin.",Account Access,High,Email
10274,Regarding my account: Unable to update billing details in the payment gateway settings.,Billing,High,Chat
10275,Regarding my account: My corporate credit card was declined but funds are showing as locked.,Billing,Medium,Email
10276,Urgent: Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Low,Email
10277,"Hi team, How do I close my account? I cannot find the option in the portal.",Cancellation,High,Email
10278,Regarding my account: Need to transfer master ownership of the workspace to another admin.,Account Access,High,Phone
10279,Need to transfer master ownership of the workspace to another admin.,Account Access,Low,Email
10280,"Hi team, Unable to update billing details in the payment gateway settings.",Billing,Medium,Email
10281,Urgent: API webhook integration is failing to sync payload data.,Technical Support,High,Email
10282,"Hello, Is your infrastructure fully SOC2 and GDPR compliant?",General Inquiry,Low,Phone
10283,"Hello, API webhook integration is failing to sync payload data.",Technical Support,Medium,Web Portal
10284,"Hello, My profile shows as deactivated or suspended without notice.",Account Access,Low,Phone
10285,Regarding my account: Critical error: Timeout Exception unhandled exception on the dashboard.,Technical Support,High,Chat
10286,Regarding my account: Production server is throwing 403 Forbidden errors during exporting reports.,Technical Support,Medium,Phone
10287,Locked out of my admin account after entering the wrong MFA token.,Account Access,High,Phone
10288,"Hi team, My profile shows as deactivated or suspended without notice.",Account Access,Medium,Email
10289,Please help - Need a copy of invoice #7827 for our company accounts.,Billing,High,Email
10290,Production server is throwing NullPointerException errors during processing checkout.,Technical Support,Low,Chat
10291,Regarding my account: My corporate credit card was declined but funds are showing as locked.,Billing,Medium,Phone
10292,"Hello, I was double charged for my monthly subscription fee.",Billing,High,Phone
10293,Urgent: The new features are completely broken and ruining our daily workflows.,Complaint,High,Email
10294,"Hello, Production server is throwing NullPointerException errors during opening settings.",Technical Support,Low,Phone
10295,"Regarding my account: Unable to connect to the database, getting a timeout error.",Technical Support,Low,Phone
10296,"Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Email
10297,Urgent: Production server is throwing 500 Internal Server Error errors during opening settings.,Technical Support,High,Phone
10298,Please help - Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Chat
10299,Urgent: I've been waiting over 48 hours for an urgent response.,Complaint,High,Phone
10300,Urgent: Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Medium,Phone
10301,"Regarding my account: Unable to connect to the database, getting a timeout error.",Technical Support,High,Phone
10302,"Hi team, My profile shows as deactivated or suspended without notice.",Account Access,Low,Email
10303,Urgent: How do I close my account? I cannot find the option in the portal.,Cancellation,High,Email
10304,"Hi team, Why is there an unexpected charge on my statement this month?",Billing,High,Email
10305,"Hi team, The new features are completely broken and ruining our daily workflows.",Complaint,Medium,Email
10306,"Hello, 2FA SMS authentication code is not delivering to my phone.",Account Access,Low,Phone
10307,"Moving to a competing software provider, cancel auto-renewals.",Cancellation,Low,Phone
10308,"Hello, Cannot authorize login via Google OAuth provider.",Account Access,Low,Chat
10309,Requesting a refund for accidental renewal of the license tier.,Billing,High,Phone
10310,Regarding my account: Password reset link expired or is invalid.,Account Access,High,Email
10311,Urgent: Production server is throwing NullPointerException errors during processing checkout.,Technical Support,Low,Chat
10312,Locked out of my admin account after entering the wrong MFA token.,Account Access,High,Phone
10313,"Regarding my account: Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Web Portal
10314,Need to transfer master ownership of the workspace to another admin.,Account Access,Medium,Phone
10315,"Hello, The new features are completely broken and ruining our daily workflows.",Complaint,High,Chat
10316,Production server is throwing 500 Internal Server Error errors during opening settings.,Technical Support,Medium,Phone
10317,"Hello, Can you send over details regarding enterprise tier volume pricing?",General Inquiry,Low,Email
10318,"Hi team, I've been waiting over 48 hours for an urgent response.",Complaint,Low,Phone
10319,My corporate credit card was declined but funds are showing as locked.,Billing,Medium,Email
10320,"Hi team, The latest update broke the UI layout on mobile view.",Technical Support,Low,Phone
10321,"Hi team, Production server is throwing NullPointerException errors during loading charts.",Technical Support,High,Email
10322,Urgent: Unable to update billing details in the payment gateway settings.,Billing,Medium,Phone
10323,The service availability falls way short of the promised uptime SLA.,Complaint,Medium,Phone
10324,Cannot authorize login via Google OAuth provider.,Account Access,Low,Email
10325,"Hello, Please cancel my premium subscription immediately.",Cancellation,High,Phone
10326,Regarding my account: Unable to update billing details in the payment gateway settings.,Billing,High,Email
10327,"Hello, Password reset link expired or is invalid.",Account Access,Medium,Email
10328,"Hello, I want to terminate my membership and delete all stored personal data.",Cancellation,High,Phone
10329,Urgent: The new features are completely broken and ruining our daily workflows.,Complaint,Medium,Email
10330,Regarding my account: Need to transfer master ownership of the workspace to another admin.,Account Access,Low,Phone
10331,"Hello, I want to terminate my membership and delete all stored personal data.",Cancellation,High,Email
10332,Urgent: 2FA SMS authentication code is not delivering to my phone.,Account Access,High,Email
10333,Regarding my account: Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Phone
10334,"Hello, Password reset link expired or is invalid.",Account Access,Medium,Phone
10335,Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Chat
10336,Please help - The service availability falls way short of the promised uptime SLA.,Complaint,Low,Email
10337,"Hello, The latest update broke the UI layout on mobile view.",Technical Support,High,Email
10338,Where can I find the official developer API reference guides?,General Inquiry,High,Web Portal
10339,Urgent: I've been waiting over 48 hours for an urgent response.,Complaint,High,Web Portal
10340,Please help - Password reset link expired or is invalid.,Account Access,High,Web Portal
10341,"Hello, The service availability falls way short of the promised uptime SLA.",Complaint,Low,Phone
10342,Urgent: Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Web Portal
10343,Please help - Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Chat
10344,"Hi team, Please cancel my premium subscription immediately.",Cancellation,Medium,Phone
10345,Urgent: Production server is throwing 403 Forbidden errors during processing checkout.,Technical Support,High,Phone
10346,Please help - Extremely disappointed with the unannounced price hike.,Complaint,Medium,Email
